% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
100.00    0.004000        1333         3           wait4
  0.00    0.000000           0         3           read
  0.00    0.000000           0        19        12 open
  0.00    0.000000           0         7           close
  0.00    0.000000           0        57        25 stat
  0.00    0.000000           0         4           fstat
  0.00    0.000000           0        22           lstat
  0.00    0.000000           0         8           mmap
  0.00    0.000000           0         4           mprotect
  0.00    0.000000           0         1           munmap
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         9           rt_sigaction
  0.00    0.000000           0         3           ioctl
  0.00    0.000000           0        49        32 access
  0.00    0.000000           0         1           getpid
  0.00    0.000000           0         3           vfork
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           getcwd
  0.00    0.000000           0         3           unlink
  0.00    0.000000           0         6           readlink
  0.00    0.000000           0         1           getrlimit
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           setrlimit
------ ----------- ----------- --------- --------- ----------------
100.00    0.004000                   211        69 total
