city,state,stars,open,alcohol,noiseLevel,attire,priceRange,delivery,waiterService,smoking,outdoorSeating,caters,goodForKids,goodForGroups
Charlotte,NC,4.0,True,full_bar,BLANK,casual,2,FALSE,TRUE,no,FALSE,BLANK,BLANK,1
Castle Shannon,PA,4.5,True,none,BLANK,casual,1,TRUE,FALSE,BLANK,TRUE,TRUE,BLANK,1
Charlotte,NC,4.0,False,full_bar,quiet,casual,1,FALSE,TRUE,BLANK,TRUE,FALSE,BLANK,1
Karlsruhe,BW,2.5,True,full_bar,BLANK,casual,2,BLANK,FALSE,yes,FALSE,BLANK,TRUE,1
Charlotte,NC,4.0,True,none,average,casual,1,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Montral,QC,4.0,True,full_bar,average,dressy,4,FALSE,FALSE,BLANK,TRUE,BLANK,BLANK,1
Edinburgh,EDH,4.0,True,beer_and_wine,quiet,casual,2,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Charlotte,NC,3.5,True,none,quiet,casual,1,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,0
El Mirage,AZ,2.5,True,none,average,casual,1,FALSE,TRUE,BLANK,TRUE,BLANK,BLANK,1
Montreal,QC,3.5,True,full_bar,average,casual,2,TRUE,TRUE,BLANK,TRUE,BLANK,BLANK,0
Montral,QC,4.5,True,full_bar,quiet,casual,3,BLANK,TRUE,BLANK,FALSE,BLANK,BLANK,1
Las Vegas,NV,2.5,True,none,average,casual,1,FALSE,FALSE,BLANK,BLANK,FALSE,BLANK,1
Montral,QC,2.5,True,none,average,casual,2,FALSE,TRUE,BLANK,FALSE,FALSE,BLANK,1
Montral,QC,3.5,True,none,quiet,casual,2,TRUE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Bellevue,PA,2.5,True,none,quiet,casual,1,TRUE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Apache Junction,AZ,3.0,False,none,average,casual,3,FALSE,FALSE,BLANK,BLANK,FALSE,BLANK,0
Verdun,QC,3.5,True,full_bar,BLANK,casual,1,TRUE,BLANK,BLANK,FALSE,BLANK,BLANK,1
Edinburgh,EDH,3.5,True,full_bar,BLANK,BLANK,2,BLANK,BLANK,BLANK,TRUE,TRUE,BLANK,1
Scottsdale,AZ,3.5,False,full_bar,BLANK,casual,2,FALSE,FALSE,BLANK,TRUE,BLANK,BLANK,1
