city,state,stars,open,alcohol,noiseLevel,attire,priceRange,delivery,waiterService,smoking,outdoorSeating,caters,goodForKids,goodForGroups
Tempe,AZ,2.5,FALSE,none,very_loud,casual,1,TRUE,TRUE,yes,TRUE,TRUE,FALSE,1
Champaign,IL,2,FALSE,full_bar,loud,casual,1,TRUE,TRUE,outdoor,TRUE,BLANK,BLANK,1
Edinburgh,EDH,4.5,TRUE,full_bar,quiet,casual,3,FALSE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Edinburgh,EDH,3.5,TRUE,full_bar,quiet,casual,2,TRUE,TRUE,BLANK,FALSE,BLANK,BLANK,1
Las Vegas,NV,3,TRUE,full_bar,loud,casual,2,FALSE,TRUE,BLANK,FALSE,FALSE,FALSE,0
Charlotte,NC,4,TRUE,full_bar,BLANK,casual,2,FALSE,TRUE,no,FALSE,BLANK,BLANK,1
Pittsburgh,PA,3.5,TRUE,full_bar,average,casual,1,BLANK,FALSE,yes,FALSE,BLANK,BLANK,1
Champaign,IL,3.5,TRUE,none,average,casual,1,FALSE,TRUE,BLANK,FALSE,FALSE,TRUE,0
Matthews,NC,4.5,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,BLANK,FALSE,TRUE,BLANK,0
Madison,WI,3.5,FALSE,full_bar,average,casual,2,FALSE,TRUE,BLANK,TRUE,TRUE,BLANK,1
Montral,QC,3.5,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,BLANK,FALSE,FALSE,BLANK,0
Mount Holly,NC,2.5,TRUE,none,average,casual,1,FALSE,TRUE,BLANK,FALSE,FALSE,BLANK,1
Phoenix,AZ,4,FALSE,full_bar,quiet,casual,1,FALSE,FALSE,BLANK,TRUE,FALSE,TRUE,1
Las Vegas,NV,1,TRUE,none,quiet,casual,2,TRUE,FALSE,BLANK,FALSE,TRUE,BLANK,1
Montral,QC,3.5,FALSE,none,average,casual,1,FALSE,FALSE,BLANK,FALSE,FALSE,BLANK,1
Urbana,IL,3.5,TRUE,none,quiet,casual,1,FALSE,FALSE,BLANK,FALSE,TRUE,BLANK,0
Champaign,IL,3.5,FALSE,none,loud,casual,1,TRUE,TRUE,BLANK,FALSE,TRUE,BLANK,1
Champaign,IL,3.5,TRUE,none,quiet,casual,1,TRUE,FALSE,BLANK,FALSE,TRUE,BLANK,0
Urbana,IL,3.5,TRUE,none,average,casual,1,FALSE,TRUE,BLANK,FALSE,FALSE,BLANK,1
Avondale,AZ,4,TRUE,none,average,casual,1,FALSE,FALSE,BLANK,FALSE,TRUE,BLANK,1
Phoenix,AZ,2,TRUE,none,quiet,casual,2,TRUE,FALSE,BLANK,TRUE,BLANK,BLANK,0
Kitchener,ON,3.5,TRUE,beer_and_wine,average,casual,2,FALSE,TRUE,BLANK,TRUE,FALSE,BLANK,1
Pittsburgh,PA,3.5,TRUE,none,average,casual,1,TRUE,FALSE,BLANK,FALSE,FALSE,BLANK,1
Castle Shannon,PA,4.5,TRUE,none,BLANK,casual,1,TRUE,FALSE,BLANK,TRUE,TRUE,BLANK,1
Champaign,IL,3.5,TRUE,none,average,casual,1,FALSE,BLANK,BLANK,FALSE,BLANK,BLANK,1
Chandler,AZ,3.5,TRUE,none,average,casual,2,TRUE,FALSE,BLANK,FALSE,TRUE,BLANK,1
Pittsburgh,PA,2.5,TRUE,none,loud,casual,1,TRUE,TRUE,BLANK,FALSE,BLANK,BLANK,0
Charlotte,NC,4,FALSE,full_bar,quiet,casual,1,FALSE,TRUE,BLANK,TRUE,FALSE,BLANK,1
Montreal,QC,3,TRUE,full_bar,average,casual,2,TRUE,FALSE,yes,FALSE,BLANK,BLANK,1
Glendale,AZ,4.5,FALSE,beer_and_wine,average,casual,1,FALSE,FALSE,BLANK,TRUE,FALSE,BLANK,1
Waterloo,ON,4,TRUE,none,BLANK,casual,1,TRUE,FALSE,BLANK,FALSE,TRUE,BLANK,0
Pittsburgh,PA,3.5,TRUE,none,quiet,casual,1,FALSE,FALSE,BLANK,FALSE,BLANK,BLANK,1
Montral,QC,3.5,TRUE,full_bar,average,dressy,3,FALSE,FALSE,BLANK,FALSE,FALSE,BLANK,1
